apt_name,dedicated_area,floor,transaction_amount,transaction_date
샛별마을(라이프),153.24,13,125000.0,2006-01-12
샛별마을(라이프),89.8,16,58500.0,2006-02-01
샛별마을(라이프),78.52,24,48000.0,2006-03-04
샛별마을(라이프),153.24,17,120510.0,2007-12-21
샛별마을(라이프),84.99,19,58000.0,2009-05-13
샛별마을(라이프),89.8,10,63000.0,2009-06-23
샛별마을(라이프),84.99,21,56000.0,2009-12-15
샛별마을(라이프),126.42,3,71000.0,2011-03-05
샛별마을(라이프),84.99,22,54500.0,2011-03-14
샛별마을(라이프),78.52,13,50500.0,2011-06-14
샛별마을(라이프),78.52,20,44350.0,2012-08-04
샛별마을(라이프),78.52,19,38900.0,2013-02-19
샛별마을(라이프),78.52,16,41400.0,2013-03-07
샛별마을(라이프),84.99,4,45000.0,2013-10-30
샛별마을(라이프),153.24,11,78000.0,2014-02-26
샛별마을(라이프),89.8,22,49000.0,2014-08-15
샛별마을(라이프),89.8,8,51000.0,2014-10-20
샛별마을(라이프),89.8,2,49500.0,2014-11-28
샛별마을(라이프),89.8,19,51250.0,2015-01-23
샛별마을(라이프),153.24,5,78700.0,2015-02-26
샛별마을(라이프),89.8,13,54000.0,2015-05-07
샛별마을(라이프),78.52,10,50700.0,2015-07-22
샛별마을(라이프),85.0,18,49250.0,2015-08-29
샛별마을(라이프),78.52,14,49500.0,2015-09-05
샛별마을(라이프),89.8,1,49500.0,2015-09-16
샛별마을(라이프),89.8,24,50800.0,2015-10-02
샛별마을(라이프),89.8,14,54250.0,2015-11-04
샛별마을(라이프),84.99,18,52500.0,2016-04-01
샛별마을(라이프),153.24,19,76000.0,2016-06-15
샛별마을(라이프),89.8,4,54000.0,2016-06-21
샛별마을(라이프),58.17,14,34900.0,2016-07-06
샛별마을(라이프),89.8,11,54000.0,2016-07-12
샛별마을(라이프),126.42,9,66400.0,2016-08-11
샛별마을(라이프),153.24,14,88000.0,2016-09-21
샛별마을(라이프),89.8,6,54500.0,2016-10-03
샛별마을(라이프),153.24,9,76500.0,2016-10-24
샛별마을(라이프),78.52,7,51800.0,2016-11-05
샛별마을(라이프),78.52,21,48800.0,2016-12-20
샛별마을(라이프),153.24,18,79000.0,2017-02-18
샛별마을(라이프),85.0,14,51500.0,2017-03-07
샛별마을(라이프),84.99,16,55000.0,2017-03-22
샛별마을(라이프),153.24,6,75000.0,2017-04-30
샛별마을(라이프),153.24,7,76800.0,2017-05-03
샛별마을(라이프),84.99,13,54000.0,2017-05-22
샛별마을(라이프),153.24,1,71000.0,2017-06-18
샛별마을(라이프),78.52,23,55500.0,2017-06-21
샛별마을(라이프),153.24,2,77000.0,2017-06-26
샛별마을(라이프),89.8,18,58000.0,2017-06-30
샛별마을(라이프),84.99,25,55000.0,2017-07-01
샛별마을(라이프),126.42,12,70000.0,2017-07-27
샛별마을(라이프),126.42,17,71000.0,2017-08-05
샛별마을(라이프),78.52,9,57500.0,2017-09-29
샛별마을(라이프),153.24,15,81000.0,2017-10-13
샛별마을(라이프),126.42,7,75000.0,2017-10-17
샛별마을(라이프),85.0,6,63000.0,2017-11-25
샛별마을(라이프),78.52,8,62300.0,2017-12-18
샛별마을(라이프),85.0,7,66000.0,2018-01-06
샛별마을(라이프),89.8,20,68000.0,2018-01-10
샛별마을(라이프),58.17,10,45500.0,2018-02-12
샛별마을(라이프),78.52,1,64800.0,2018-02-21
샛별마을(라이프),58.17,1,48000.0,2018-03-19
샛별마을(라이프),78.52,17,66000.0,2018-05-21
샛별마을(라이프),78.52,11,66300.0,2018-06-30
샛별마을(라이프),58.17,7,48500.0,2018-08-10
샛별마을(라이프),84.99,20,75000.0,2018-08-21
샛별마을(라이프),78.52,2,69500.0,2018-08-22
샛별마을(라이프),84.99,3,74800.0,2018-08-23
샛별마을(라이프),85.0,16,79000.0,2018-08-24
샛별마을(라이프),78.52,6,77000.0,2018-09-04
샛별마을(라이프),78.52,22,72000.0,2019-05-08
샛별마을(라이프),85.0,10,72500.0,2019-06-20
샛별마을(라이프),126.42,1,83000.0,2019-06-24
샛별마을(라이프),153.24,12,100000.0,2019-07-25
샛별마을(라이프),85.0,1,66500.0,2019-07-31
샛별마을(라이프),126.42,10,93000.0,2019-08-26
샛별마을(라이프),126.42,5,92000.0,2019-08-30
샛별마을(라이프),84.99,11,74000.0,2019-09-24
샛별마을(라이프),84.99,7,75000.0,2019-10-06
샛별마을(라이프),84.99,9,78500.0,2019-10-09
샛별마을(라이프),85.0,11,80000.0,2019-10-11
샛별마을(라이프),84.99,17,78800.0,2019-10-22
샛별마을(라이프),58.17,8,54400.0,2019-10-31
샛별마을(라이프),84.99,14,81000.0,2019-11-02
샛별마을(라이프),85.0,5,83700.0,2019-11-15
샛별마을(라이프),126.42,2,90000.0,2019-11-21
샛별마을(라이프),85.0,15,84000.0,2019-11-30
샛별마을(라이프),84.99,12,80000.0,2019-12-02
샛별마을(라이프),85.0,8,86000.0,2019-12-03
샛별마을(라이프),84.99,15,85000.0,2019-12-05
샛별마을(라이프),153.24,10,118000.0,2019-12-05
샛별마을(라이프),89.8,3,85000.0,2019-12-20
샛별마을(라이프),58.17,13,59000.0,2019-12-20
샛별마을(라이프),84.99,6,84250.0,2019-12-21
샛별마을(라이프),58.17,11,57900.0,2020-02-01
샛별마을(라이프),126.42,11,109500.0,2020-02-15
샛별마을(라이프),84.99,1,78000.0,2020-03-06
샛별마을(라이프),58.17,12,62800.0,2020-03-10
샛별마을(라이프),58.17,9,60500.0,2020-05-16
샛별마을(라이프),58.17,2,59500.0,2020-06-02
샛별마을(라이프),78.52,18,87600.0,2020-06-06
샛별마을(라이프),58.17,15,63500.0,2020-06-18
샛별마을(라이프),78.52,5,89800.0,2020-06-26
샛별마을(라이프),78.52,3,86500.0,2020-06-29
샛별마을(라이프),78.52,4,89900.0,2020-06-30
샛별마을(라이프),85.0,2,89000.0,2020-07-01
샛별마을(라이프),58.17,3,64500.0,2020-07-06
샛별마을(라이프),89.8,7,95000.0,2020-07-07
샛별마을(라이프),126.42,8,115000.0,2020-07-08
샛별마을(라이프),89.8,23,94000.0,2020-07-09
샛별마을(라이프),84.99,10,100500.0,2020-07-09
샛별마을(라이프),84.99,2,89000.0,2020-07-11
샛별마을(라이프),126.42,4,130000.0,2020-07-30
샛별마을(라이프),58.17,4,60000.0,2020-08-03
샛별마을(라이프),85.0,3,96900.0,2020-08-07
샛별마을(라이프),58.17,6,72000.0,2020-08-10
샛별마을(라이프),85.0,13,99800.0,2020-08-13
샛별마을(라이프),84.99,8,105000.0,2020-08-22
샛별마을(라이프),84.99,23,102000.0,2020-08-29
샛별마을(라이프),85.0,4,104000.0,2020-09-24
샛별마을(라이프),126.42,15,89000.0,2020-09-28
샛별마을(라이프),58.17,5,71000.0,2020-10-07
샛별마을(라이프),153.24,20,140000.0,2020-11-05
샛별마을(라이프),89.8,12,120500.0,2020-11-20
샛별마을(라이프),126.42,16,130000.0,2020-11-20
샛별마을(라이프),126.42,18,140000.0,2020-11-21
샛별마을(라이프),126.42,13,143000.0,2020-11-25
샛별마을(라이프),84.99,5,115000.0,2020-11-26
샛별마을(라이프),85.0,9,123000.0,2020-11-27
샛별마을(라이프),84.99,24,108000.0,2020-12-08
샛별마을(라이프),85.0,12,127000.0,2020-12-09
샛별마을(라이프),126.42,6,153000.0,2021-01-22
장안타운(건영),162.85,4,87000.0,2006-02-10
장안타운(건영),131.76,14,89000.0,2006-04-17
장안타운(건영),101.82,4,52000.0,2015-02-07
장안타운(건영),162.85,20,59300.0,2015-03-04
장안타운(건영),131.76,17,55000.0,2016-01-12
장안타운(건영),162.85,10,62000.0,2016-03-15
장안타운(건영),67.73,3,36500.0,2016-06-10
장안타운(건영),101.82,10,53700.0,2016-07-11
장안타운(건영),53.72,14,30800.0,2016-07-16
장안타운(건영),131.76,6,54800.0,2016-08-10
장안타운(건영),131.76,8,55000.0,2016-08-26
장안타운(건영),131.76,7,59000.0,2016-08-30
장안타운(건영),101.82,6,53000.0,2017-03-14
장안타운(건영),53.72,10,34000.0,2017-05-26
장안타운(건영),162.85,18,65000.0,2017-07-19
장안타운(건영),131.76,18,60000.0,2017-07-20
장안타운(건영),162.85,3,63900.0,2017-07-27
장안타운(건영),131.76,3,60000.0,2017-08-29
장안타운(건영),131.76,9,63000.0,2017-11-27
장안타운(건영),85.0,19,57500.0,2017-12-07
장안타운(건영),162.85,7,67000.0,2017-12-22
장안타운(건영),85.0,16,59950.0,2018-01-18
장안타운(건영),70.68,14,52000.0,2018-03-28
장안타운(건영),67.73,7,52200.0,2018-04-21
장안타운(건영),131.55,14,71000.0,2018-06-05
장안타운(건영),70.68,1,51000.0,2018-08-06
장안타운(건영),131.55,18,75000.0,2018-08-20
장안타운(건영),53.72,8,42900.0,2018-08-22
장안타운(건영),131.76,11,75000.0,2018-08-27
장안타운(건영),162.85,14,85000.0,2018-08-27
장안타운(건영),131.55,19,75000.0,2018-08-28
장안타운(건영),131.55,17,80000.0,2018-10-06
장안타운(건영),67.73,4,58000.0,2019-01-25
장안타운(건영),131.55,16,73000.0,2019-05-03
장안타운(건영),162.85,19,77000.0,2019-05-28
장안타운(건영),162.85,16,75000.0,2019-06-15
장안타운(건영),162.85,13,83000.0,2019-07-31
장안타운(건영),131.55,13,78500.0,2019-08-13
장안타운(건영),162.85,12,81000.0,2019-09-07
장안타운(건영),131.55,12,84800.0,2019-10-19
장안타운(건영),85.0,17,68000.0,2019-10-23
장안타운(건영),131.55,15,85000.0,2019-11-02
장안타운(건영),162.85,6,85000.0,2019-11-23
장안타운(건영),70.68,8,57500.0,2019-11-29
장안타운(건영),70.68,6,55900.0,2019-11-29
장안타운(건영),162.85,9,87000.0,2019-11-30
장안타운(건영),101.82,2,70000.0,2019-12-03
장안타운(건영),67.73,12,55000.0,2019-12-03
장안타운(건영),101.82,9,79000.0,2019-12-13
장안타운(건영),85.0,9,76000.0,2019-12-25
장안타운(건영),85.0,18,73000.0,2019-12-25
장안타운(건영),85.0,7,71000.0,2019-12-30
장안타운(건영),131.76,13,82500.0,2020-01-10
장안타운(건영),53.72,12,44800.0,2020-01-14
장안타운(건영),131.55,11,85000.0,2020-01-28
장안타운(건영),67.73,8,58000.0,2020-02-05
장안타운(건영),53.72,2,45000.0,2020-02-07
장안타운(건영),131.76,16,88000.0,2020-02-25
장안타운(건영),162.85,5,86500.0,2020-02-26
장안타운(건영),85.0,14,77500.0,2020-05-12
장안타운(건영),101.82,8,75000.0,2020-05-18
장안타운(건영),131.55,6,85000.0,2020-05-21
장안타운(건영),67.73,11,56500.0,2020-05-22
장안타운(건영),67.73,13,55900.0,2020-06-04
장안타운(건영),85.0,4,78500.0,2020-06-05
장안타운(건영),70.68,4,62900.0,2020-06-06
장안타운(건영),162.85,2,86000.0,2020-06-09
장안타운(건영),85.0,1,68000.0,2020-06-12
장안타운(건영),70.68,12,62000.0,2020-06-15
장안타운(건영),85.0,13,74000.0,2020-06-16
장안타운(건영),101.82,1,77000.0,2020-06-17
장안타운(건영),70.68,5,64000.0,2020-06-18
장안타운(건영),131.55,8,91000.0,2020-06-22
장안타운(건영),162.85,1,87000.0,2020-06-23
장안타운(건영),70.68,7,63700.0,2020-06-23
장안타운(건영),131.55,2,87500.0,2020-06-24
장안타운(건영),67.73,1,54000.0,2020-06-24
장안타운(건영),85.0,10,76000.0,2020-06-24
장안타운(건영),67.73,5,58900.0,2020-06-25
장안타운(건영),67.73,10,58000.0,2020-06-26
장안타운(건영),162.85,11,90000.0,2020-06-27
장안타운(건영),67.73,14,58000.0,2020-06-29
장안타운(건영),162.85,8,90000.0,2020-06-29
장안타운(건영),70.68,2,63000.0,2020-06-29
장안타운(건영),131.55,1,82500.0,2020-06-29
장안타운(건영),131.55,9,89900.0,2020-06-30
장안타운(건영),67.73,9,58000.0,2020-06-30
장안타운(건영),101.82,7,87000.0,2020-07-01
장안타운(건영),85.0,5,85000.0,2020-07-04
장안타운(건영),85.0,12,71500.0,2020-07-13
장안타운(건영),85.0,3,80000.0,2020-07-23
장안타운(건영),53.72,4,51000.0,2020-07-24
장안타운(건영),53.72,7,60000.0,2020-08-13
장안타운(건영),53.72,3,58000.0,2020-08-15
장안타운(건영),101.82,11,72000.0,2020-08-28
장안타운(건영),131.55,10,106300.0,2020-10-12
